"timestamp","speed","accuracy","acceleration_magnitude","DFT_E1","DFT_E2","DFT_E3","mode"
1388061041,0,24,10.9009742294,118.83123915,100.267424617,97.0848667903,"bus"
1387870666,0,6,11.6081530979,134.749218344,139.677886193,143.902672617,"auto"
1387871618,0,24,10.2644827139,105.359605384,100.703435508,103.49964296,"bus"
1387972146,0,8,11.4162975698,130.331850202,130.331850202,130.141357479,"bus"
1387970785,3.0991304,8,13.462747867,181.24558013,135.122288421,85.3352487934,"auto"
1387974298,1.0987172,128,11.9757562548,143.418737874,141.732682104,142.23891596,"stationary"
1387969282,1.0898862,24,4.0145977041,16.1169947258,16.1169947258,22.7502558308,"walking"
1388060939,0,24,10.077753109,101.561107726,108.703325363,106.735313835,"bus"
1388057378,1.0186565,12,11.3690797432,129.255974207,111.797575544,91.7471630212,"walking"
1387974877,0,32,11.9406819729,142.579885978,141.780047578,142.113840583,"stationary"
1387974846,0,32,11.9268882313,142.250662882,142.549511521,142.794025095,"stationary"
1387870186,0.6119074,8,9.91984302536,98.4032856478,97.3064124975,97.6020204302,"walking"
1387972331,0,16,11.8492742613,140.40530052,137.895408249,138.670230258,"bus"
1387871667,0,24,12.2546107204,150.175483909,165.711102814,175.74657456,"bus"
1387875300,0,32,11.9608928322,143.062957343,142.913866219,143.006443609,"stationary"
1387974872,0,32,11.9036543747,141.696987472,143.047218646,142.57240116,"stationary"
1387969652,1.0020846,6,11.1396882875,124.092655143,119.701851917,110.664618597,"walking"
1387974698,0,150,11.8609761557,140.682755366,142.446730869,140.65858331,"stationary"
1387875231,0,32,11.9735438985,143.365753489,143.365753489,143.365753489,"stationary"
1387869911,0.8281529,6,12.6208733711,159.286444649,145.869057649,149.9035708,"walking"
1387974697,0,32,11.8965929683,141.528924253,141.820480692,141.027811752,"stationary"
1387875531,0,32,11.9605022406,143.053613847,143.053613847,143.239185635,"stationary"
1388060980,0,24,9.8877986434,97.7685620124,97.7685620124,96.9841891945,"bus"
1387870743,5.2311068,12,12.884963521,166.022284938,112.941493781,113.233966477,"auto"
1387974490,0,32,12.0264486583,144.635467331,142.648691393,144.202455589,"stationary"
1387974120,0,150,11.9283139137,142.284672824,145.32512115,144.885285327,"stationary"
1387974195,0,150,11.9654056251,143.170931773,142.841059105,142.856363465,"stationary"
1387875693,0,32,11.996395444,143.913503649,142.423181971,143.429091912,"stationary"
1387875278,0,32,11.9438677581,142.655977023,143.427539488,143.153680344,"stationary"
1388057898,0.8832662,8,12.1370249391,147.307374372,147.307374372,177.248496286,"walking"
1387875279,0,150,11.988702876,143.728996649,142.821971449,142.816819638,"stationary"
1387971118,0,4,11.9179105473,142.036591813,131.963950596,128.853096443,"auto"
1387870803,0,16,12.0761697396,145.83387558,144.796418875,141.994472178,"auto"
1388061018,0,24,10.5887445873,112.121511935,112.121511935,179.480994689,"bus"
1388057838,0,16,11.5872467593,134.264287461,173.816673969,144.735898962,"walking"
1388057820,0,16,11.3617271395,129.088843592,129.088843592,128.773435851,"walking"
1387871286,0,12,10.4306307669,108.798058195,110.278828015,117.308048014,"auto"
1387875104,0,150,12.0273741114,144.657728016,144.44698608,145.022406418,"stationary"
1388060540,2.3307722,12,10.0833940848,101.674836269,97.7316564648,99.8736839272,"bus"
1388061079,0,24,11.2111481374,125.689842559,90.8008921283,90.5409633695,"bus"
1387875705,0,150,11.9576462654,142.985304208,142.985304208,142.985304208,"stationary"
1388060985,0,24,10.0132991789,100.266160446,113.618913858,121.148259414,"bus"
1387971153,0,6,11.6985941658,136.857105456,139.78101325,137.832604559,"auto"
1387872286,0,24,13.9837344423,195.544828953,110.262704807,105.551854135,"bus"
1387969914,0,858,12.3053085815,151.420619286,131.798006108,117.522356842,"walking"
1387972189,0,24,12.2527664082,150.130284654,156.843131184,162.102633497,"bus"
1387875076,0,32,11.9795965575,143.51073368,143.320320117,142.757690734,"stationary"
1388061011,0,24,12.6048537511,158.882338087,182.922290583,198.193928833,"bus"
1387870030,0,858,11.2328330558,126.176538459,121.05701722,117.879315092,"walking"
1387971481,7.7250023,12,11.7252129643,137.480619058,137.480619058,132.549042668,"auto"
1387974410,0,150,11.9236894582,142.174370296,142.044534633,142.065349473,"stationary"
1387870117,0.8936295,16,13.7340618426,188.624454696,188.624454696,206.915204432,"walking"
1387871152,0,24,11.5107125954,132.496504454,137.404777469,146.257707721,"auto"
1387870731,3.2107358,12,13.6370142037,185.968156392,136.184673586,124.686157831,"auto"
1387869763,0,8,12.8970887406,166.334897983,159.308418489,148.396250463,"walking"
1388057928,0,16,14.3442923366,205.758722638,202.719708035,194.137948173,"walking"
1387870016,0.8536372,12,11.553234654,133.47723097,133.696621072,131.652741331,"walking"
1387871189,1.1431746,16,11.243717604,126.421185558,126.421185558,156.424587627,"auto"
1388060969,0,24,10.3190250237,106.48227744,106.48227744,102.666597884,"bus"
1387870737,4.9629927,8,6.78741605934,46.0690167626,110.26382249,113.561235794,"auto"
1387871534,0,768,12.0991369274,146.389114388,116.967784596,81.362340543,"bus"
1387969672,1.0769757,8,14.7501378593,217.566566868,217.566566868,207.77916804,"walking"
1387974623,0,32,11.9292472834,142.306940749,142.842062421,141.861329665,"stationary"
1387971070,2.7986867,8,14.5168363896,210.738538762,210.738538762,231.927779593,"auto"
1387875449,0,24,11.9900500622,143.761300494,143.761300494,143.761300494,"stationary"
1387969809,0.78582513,16,12.6610796993,160.302939152,162.536002235,166.594935698,"walking"
1387974029,0,150,11.9291742271,142.305197741,142.414818919,142.56870782,"stationary"
1387971154,0,8,11.4520069329,131.148462791,122.397402858,124.250435212,"auto"
1387871816,0,32,11.8947084241,141.484088494,141.484088494,144.152766963,"bus"
1387871561,0,16,10.4656118893,109.529032217,109.529032217,84.531888573,"bus"
1387871952,0,24,13.2245682886,174.88920642,153.591388379,172.994139845,"bus"
1387871191,0,768,11.4634478493,131.410636594,153.965854492,159.442403592,"auto"
1388057287,0,1007,12.3267536127,151.948854628,158.993946812,154.09702182,"walking"
1388057764,0,12,9.70769538679,94.2393497227,94.2393497227,94.5458584257,"walking"
1387874953,0,32,12.1003003708,146.417269064,145.147309131,145.463171016,"stationary"
1388057295,0,1007,12.1215027956,146.930830024,102.022626692,103.295242219,"walking"
1387870001,0.9752349,6,9.9084296721,98.176978567,103.082966634,105.960497958,"walking"
1388057708,0,902,12.1172287403,146.827232345,144.284831833,146.889232647,"walking"
1388061038,0,24,10.3780705486,107.704348312,109.812978081,110.647033378,"bus"
1388059617,0,8,11.2172878851,125.827547497,118.970725524,119.89059445,"auto"
1388057903,0.8832662,8,13.6816937147,187.188742903,206.316975595,213.190127128,"walking"
1388060949,0,24,10.1043853921,102.098604152,105.900600654,109.580089471,"bus"
1387874882,0,16,12.1043782158,146.515971991,146.340873185,146.657484182,"stationary"
1387969468,1.1050621,12,11.2991373668,127.670505234,143.76292944,209.734630489,"walking"
1387874864,1.5048765,16,12.0743864305,145.790807673,146.418064558,146.90958365,"stationary"
1387871172,0,24,11.9877685611,143.706595074,143.380820262,143.380820262,"auto"
1387872050,0,24,11.3212865392,128.171528903,136.300006172,133.300527309,"bus"
1388058901,2.2428694,12,10.9039946348,118.897098996,102.34160803,95.3176828451,"auto"
1388058797,5.684421,12,12.0526386635,145.266098753,142.856827567,127.870892157,"auto"
1387969668,1.0845678,6,13.5284770749,183.019691966,179.81195174,183.278141833,"walking"
1388060978,0,24,10.1371627026,102.762067659,96.163667888,97.2016160149,"bus"
1387869920,0,858,13.3816665045,179.068998438,133.096195397,135.528925937,"walking"
1387970884,3.6625671,8,11.7519201092,138.107626253,142.0427561,153.662111278,"auto"
1387869651,1.3220195,16,14.2504924111,203.076533959,176.143404535,158.784958363,"walking"
1387871861,0,24,10.1632421576,103.291491154,101.031418213,103.312008439,"bus"
1388061096,0,24,10.5360189311,111.007694916,111.007694916,63.1180505161,"bus"
1387871207,5.421204,24,14.4218879446,207.990851887,126.476036517,123.511535011,"auto"
1387871200,3.004871,12,12.0721466896,145.736725695,169.784853977,161.32585189,"auto"
1387869743,0,858,11.1910956216,125.240621212,125.240621212,125.240621212,"walking"
1387871045,0,12,9.66893606853,93.4883246973,315.059494684,328.528181011,"auto"
1387874925,0,150,12.1268875819,147.061402424,145.483037341,146.348794516,"stationary"
1387875529,1.212526,32,11.9378778337,142.512927172,142.512927172,142.864199167,"stationary"
1387971085,4.1808324,8,11.2034785673,125.517932008,167.851957292,190.809209745,"auto"
1387875095,0,32,12.0168505865,144.404698018,143.677942106,144.49177367,"stationary"
1387870839,3.2424483,16,10.9522931393,119.952725009,149.314198481,153.646249268,"auto"
1388060493,2.3307722,12,11.9206827219,142.102676556,133.826586343,119.63668172,"bus"
1387874808,0,858,12.1079320002,146.602017321,146.602017321,145.407529677,"stationary"
1387870085,0,8,10.0933552181,101.875819559,102.764146597,106.281015176,"walking"
1387969338,1.1221365,6,10.9010052324,118.831915077,114.673730824,122.851611531,"walking"
1388058843,6.1733565,12,10.219691772,104.442099915,124.239295312,140.174371436,"auto"
